
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0     10,128 K
Registry                       124 Services                   0     55,312 K
smss.exe                       512 Services                   0      1,032 K
csrss.exe                      768 Services                   0      5,992 K
wininit.exe                    876 Services                   0      7,168 K
services.exe                   948 Services                   0      8,748 K
lsass.exe                      956 Services                   0     19,952 K
svchost.exe                    792 Services                   0     35,088 K
fontdrvhost.exe                 88 Services                   0      4,252 K
WUDFHost.exe                   944 Services                   0     15,012 K
svchost.exe                   1088 Services                   0     20,616 K
WUDFHost.exe                  1304 Services                   0      6,324 K
svchost.exe                   1372 Services                   0     93,792 K
svchost.exe                   1388 Services                   0     54,136 K
svchost.exe                   1396 Services                   0     10,548 K
svchost.exe                   1508 Services                   0     27,792 K
svchost.exe                   1516 Services                   0     27,968 K
svchost.exe                   1524 Services                   0      9,632 K
IntelCpHDCPSvc.exe            1724 Services                   0      5,388 K
svchost.exe                   1904 Services                   0     23,440 K
igfxCUIServiceN.exe           1960 Services                   0      9,868 K
svchost.exe                   2256 Services                   0     23,708 K
svchost.exe                   2348 Services                   0     28,476 K
NVDisplay.Container.exe       2384 Services                   0     29,996 K
svchost.exe                   2440 Services                   0     10,876 K
dasHost.exe                   2572 Services                   0     18,316 K
Memory Compression            2604 Services                   0    104,356 K
svchost.exe                   2704 Services                   0     10,288 K
svchost.exe                   2948 Services                   0     10,640 K
dasHost.exe                   2328 Services                   0      5,944 K
svchost.exe                   3532 Services                   0     15,108 K
svchost.exe                   3628 Services                   0      6,780 K
svchost.exe                   3688 Services                   0     17,768 K
spoolsv.exe                   3764 Services                   0     25,336 K
svchost.exe                   3812 Services                   0     15,856 K
armsvc.exe                    4104 Services                   0      5,820 K
GoogleInputService.exe        4124 Services                   0      6,140 K
esif_uf.exe                   4156 Services                   0      5,612 K
OneApp.IGCC.WinService.ex     4168 Services                   0     28,396 K
ijplmsvc.exe                  4192 Services                   0      6,204 K
IntelAudioService.exe         4256 Services                   0     23,360 K
jhi_service.exe               4304 Services                   0      5,880 K
MpDefenderCoreService.exe     4332 Services                   0     22,768 K
LMS.exe                       4340 Services                   0      8,176 K
WsNativePushService.exe       4400 Services                   0      4,276 K
mongod.exe                    4424 Services                   0     30,232 K
nvcontainer.exe               4488 Services                   0     31,640 K
PDFProFiltSrvPP.exe           4532 Services                   0      7,776 K
svchost.exe                   4556 Services                   0      6,176 K
RtkAudUService64.exe          4564 Services                   0      9,992 K
USBAppControl.exe             4592 Services                   0     15,256 K
WavesSysSvc64.exe             4668 Services                   0     13,960 K
Lavasoft.WCAssistant.WinS     4676 Services                   0     23,212 K
WorkflowAppControl.exe        4720 Services                   0     21,812 K
WMIRegistrationService.ex     4728 Services                   0     11,136 K
MsMpEng.exe                   4736 Services                   0    298,992 K
svchost.exe                   4908 Services                   0     13,360 K
dllhost.exe                   5616 Services                   0     11,452 K
svchost.exe                   6156 Services                   0      7,500 K
CNAB4RPD.EXE                  5628 Services                   0      4,212 K
printfilterpipelinesvc.ex     7404 Services                   0     19,728 K
SearchIndexer.exe             3420 Services                   0     47,468 K
NisSrv.exe                    4704 Services                   0      9,676 K
MoUsoCoreWorker.exe          12232 Services                   0     30,464 K
svchost.exe                   4024 Services                   0     17,728 K
svchost.exe                  12032 Services                   0     10,276 K
SecurityHealthService.exe    11076 Services                   0     12,068 K
svchost.exe                   8492 Services                   0     23,376 K
wlanext.exe                   7196 Services                   0      6,852 K
conhost.exe                   8692 Services                   0      5,800 K
csrss.exe                     6320 Console                   14      6,820 K
winlogon.exe                 14712 Console                   14     10,756 K
fontdrvhost.exe               8064 Console                   14     21,148 K
dwm.exe                      15300 Console                   14     94,516 K
NVDisplay.Container.exe      12096 Console                   14     40,040 K
GoogleInputHandler.exe       15872 Console                   14     14,832 K
nvcontainer.exe              15624 Console                   14     43,500 K
sihost.exe                    1576 Console                   14     25,464 K
svchost.exe                   8592 Console                   14     12,532 K
svchost.exe                  11896 Console                   14     44,372 K
igfxEMN.exe                  14736 Console                   14     13,352 K
