Product,City,Sales,Price,Total
Laptop,Houston,468,639.8298544717748,299440.3718927906
Keyboard,Los Angeles,175,131.7787632006234,23061.283560109092
Tablet,Los Angeles,412,403.78930089086407,166361.191967036
Laptop,New York,217,971.4713992656943,210809.29364065567
Headphones,Houston,46,801.0322843144129,36847.485078462996
Tablet,Miami,171,468.70443289811124,80148.45802557703
Phone,New York,476,11.44909747885345,5449.770399934242
Keyboard,Houston,359,152.53930933898206,54761.61205269456
Phone,New York,480,603.1302318053588,289502.5112665722
Headphones,Los Angeles,75,708.7434354730256,53155.75766047692
Phone,New York,16,499.52491035038884,7992.398565606221
Headphones,Miami,334,683.0417708524075,228135.9514647041
Headphones,New York,240,143.6317909935354,34471.62983844849
Keyboard,Los Angeles,301,766.0809772365393,230590.37414819832
Tablet,Chicago,12,200.99846577351434,2411.981589282172
Laptop,Houston,25,442.32137738076665,11058.034434519166
Headphones,Miami,141,76.7695517011152,10824.506789857243
Keyboard,Los Angeles,175,299.6045057521957,52430.78850663424
Laptop,Chicago,166,377.37648570968463,62644.496627807646
Phone,Los Angeles,303,500.09359368658716,151528.3588870359
Headphones,New York,247,312.805306741478,77262.91076514506
Headphones,New York,445,670.2558039788904,298263.8327706062
Phone,New York,308,956.4422593041471,294584.21586567734
Headphones,New York,87,43.22777116022443,3760.816090939525
Phone,Houston,492,29.694290263990467,14609.59080988331
Keyboard,Los Angeles,410,177.5118185938336,72779.84562347177
Headphones,New York,200,326.10197395743654,65220.394791487306
Laptop,New York,18,890.4789223178199,16028.620601720757
Keyboard,New York,180,610.8281336319826,109949.06405375687
Phone,Miami,27,470.6031727478545,12706.285664192072
Laptop,Houston,461,681.3822087155136,314117.19821785175
Laptop,Chicago,139,815.9626945931146,113418.81454844294
Tablet,New York,139,616.0378014916755,85629.2544073429
Headphones,Miami,355,550.961397897264,195591.2962535287
Phone,Miami,279,36.49917788901021,10183.270631033849
Tablet,Los Angeles,181,655.3957496017622,118626.63067791896
Phone,Houston,151,394.51304542501504,59571.46985917727
Tablet,New York,483,63.16959931996222,30510.91647154175
Headphones,Miami,156,691.8684625028154,107931.48015043921
Headphones,Chicago,311,858.3752037547572,266954.6883677295
Keyboard,Los Angeles,229,473.9446690820148,108533.32921978139
Tablet,Miami,327,232.51624065203643,76032.81069321591
Keyboard,Miami,319,530.2637791839685,169154.14555968595
Headphones,Los Angeles,272,929.4296059633748,252804.85282203794
Tablet,Houston,48,847.0836399052573,40660.01471545235
Laptop,Miami,114,592.1090062196562,67500.42670904081
Tablet,New York,284,916.4539883007033,260272.93267739972
Tablet,Los Angeles,252,607.5492526950247,153102.41167914623
Tablet,New York,106,47.80760841926289,5067.606492441866
Keyboard,New York,202,654.5346900183229,132216.00738370122
Keyboard,Miami,414,942.0187025894348,389995.74287202605
Headphones,Miami,169,330.01222118376535,55772.065380056345
Tablet,New York,259,427.72519850913005,110780.82641386468
Keyboard,New York,429,53.842991901038474,23098.643525545504
Tablet,New York,292,961.0895611745068,280638.151862956
Headphones,New York,177,157.53155826294875,27883.08581254193
Laptop,Chicago,55,834.481677391724,45896.49225654482
Keyboard,Houston,487,639.8651787978558,311614.3420745558
Keyboard,Miami,144,874.5005937629483,125928.08550186455
Keyboard,Chicago,416,889.3317418505659,369962.0046098354
Phone,Los Angeles,482,721.900944186641,347956.255097961
Tablet,Chicago,200,482.51769695691513,96503.53939138302
Phone,Chicago,419,116.03833235801513,48620.06125800834
Laptop,Houston,203,349.9262805811455,71035.03495797253
Phone,Los Angeles,322,959.710509292249,309026.7839921042
Headphones,New York,97,731.3162409563357,70937.67537276457
Laptop,Houston,313,413.21841516121896,129337.36394546153
Keyboard,Houston,118,590.0700662191,69628.2678138538
Tablet,Houston,123,563.3473877942076,69291.72869868754
Phone,New York,254,381.1870905078859,96821.52098900302
Keyboard,Houston,99,493.3255494309693,48839.22939366596
Phone,Miami,240,934.2987190558383,224231.6925734012
Keyboard,New York,429,348.5468670107047,149526.60594759232
Tablet,Miami,71,208.40160379906146,14796.513869733364
Headphones,Los Angeles,39,953.7133218267351,37194.81955124267
Tablet,Miami,58,432.73324203272716,25098.528037898177
Laptop,New York,265,548.6567704741651,145394.04417565375
Phone,New York,253,697.6220959859277,176498.3902844397
Keyboard,Los Angeles,328,638.3228340132379,209369.889556342
Phone,Houston,163,745.3591556522007,121493.54237130871
Tablet,Miami,194,285.6683932336062,55419.668287319604
Phone,Chicago,77,536.1862712313372,41286.34288481296
Tablet,Houston,173,338.8107098887051,58614.25281074598
Keyboard,New York,243,945.3204872014331,229712.87838994825
Laptop,Los Angeles,65,398.79913563411174,25921.943816217263
Keyboard,Los Angeles,441,479.0683978187327,211269.16343806114
Keyboard,Houston,181,340.8998616537633,61702.87495933116
Phone,Miami,419,629.5022015978342,263761.42246949254
Phone,Houston,476,204.75044341137752,97461.2110638157
Keyboard,New York,129,586.4099295150978,75646.88090744762
Laptop,Chicago,214,240.68089219182963,51505.710929051544
Laptop,Miami,113,263.7662702917736,29805.588542970418
Keyboard,New York,105,299.49180154388813,31446.639162108255
Tablet,Los Angeles,84,310.29606336983386,26064.869323066043
Phone,Miami,313,221.63727355655058,69372.46662320034
Phone,Miami,479,862.635539213038,413202.4232830452
Keyboard,Houston,421,723.4781712223157,304584.31008459494
Keyboard,New York,408,340.7831969541236,139039.54435728243
Laptop,Chicago,477,590.230807570143,281540.0952109582
Keyboard,Los Angeles,333,421.84850787332203,140475.55312181625
